start	end	text
0	26000	Любые отношения во внешнем мире — это точно такая же декорация, точно такой же сценарий, как и с реализацией, как и с деньгами, как и с любой другой сферой, которые рождаются из вас как из источника и обслуживают ваше состояние, ваше знание, у мире, о людях, об отношениях, о мужчинах, о себе, в контексте отношений и так далее.
27000	32000	То есть любые отношения рождаются из вас, потому что это сценарий, а все сценарии рождаете вы.
34000	35000	Что это для нас значит?
36000	48000	Это говорит о том, что вы можете создать любые отношения, любого партнера, любой формат отношений, который вам захочется и так далее.
49000	66000	То, что вы сейчас в данный конкретный период жизни наблюдаете в своей реальности, в сфере и контексте отношений — это идеальное отражение в ваших же собственных формочек сознания, то есть ваше представление, ваше знание об этой сфере, которые отражаются именно вот так.
67000	74000	Они вот так вот отразились в реальности и проявились согласно тому, что есть у вас внутри.
74000	84000	Вы можете сейчас поставить на паузу и ответить на следующие вопросы, я рекомендую письменно, либо надиктовать себе.
85000	96000	Сейчас я буду вам перечислять, и вы вместе со мной прописываете, отвечаете на этот вопрос, на эти вопросы точнее, либо поставьте потом на паузу чуть попозже, когда я все сейчас перечислю, что нужно сделать, и надиктуйте.
97000	98000	Как вам комфортно?
99000	105000	Еще важно, я сказала, что отношения в реальности в физическом мире, они отражают то, что есть у вас внутри.
106000	109000	То, что есть у вас внутри — это незафиксированная субстанция, важно.
110000	114000	Это просто то, во что вы направили момент, в какой-то момент.
115000	123000	Ой, направили момент. Короче, это то, во что вы направили внимание в какой-то момент своей жизни. Осознан или нет.
123000	136000	Если вас удивляет сфера отношений в вашей жизни, скажем так, это значит, что есть что-то, на что вы не осознанно направляете внимание, какие-то знания в отношениях о людях, о мужчинах, о женщинах и так далее.
137000	142000	И это идеальным образом проецируется в реальность, потому что, как мы помним, реальность — это уже следствие, это просто тень.
143000	148000	Любые отношения в вашей реальности — это просто как фильм, который высвечивается с проектора на стену, и он там идет.
148000	152000	Проектор — это вы как источника, который рождает из себя эти отношения.
153000	161000	Так вот, вернемся к нашей практике небольшой, к заданию. Напишите или надиктуйте, что такое отношение.
162000	168000	Я рекомендую выбрать группу людей, с которыми вы хотите сейчас поглубже разобрать отношения.
169000	175000	Это могут быть мужчины или подруги, другие женщины, работодатели, возможно, клиенты.
175000	184000	В общем, то, где у вас запрос, возможно, это дети. В общем, возьмите эту сферу и ответьте на следующий вопрос.
185000	190000	Вот это группа людей. Какая это группа людей?
191000	198000	Итак, вопрос номер один. Отношение — это что такое?
198000	204000	То есть, что вообще такое отношение? Что вы знаете об отношениях в контексте группы, которую вы выбрали?
205000	213000	Например, что вы знаете об отношениях между мужчиной и женщиной? Отношения я между мужчиной и женщиной — они чаще всего какие?
214000	218000	Чаще всего — как они складываются? Чаще всего — что в них происходит? И что им характерно?
219000	227000	Вот выписываете либо надиктовываете? Вот честно и искренне ни на показ, это останется только между вами и листочком, либо диктофоном.
228000	238000	Войцем и так далее. В общем, куда-то выложите из себя все, что вы знаете об отношениях с мужчинами или с подругами.
239000	244000	Например, вот женская дружба — это что? Дружба между женщиной и женщиной — она бывает или нет?
245000	249000	Если да, то что там обычно происходит? Что характерно для женской дружбы?
250000	253000	Вот все эти вопросы вам нужно дать на них ответы.
253000	258000	И рекомендую делать это прямо сейчас вместе со мной в формате такой практики. Небольшой.
259000	266000	Вот отношения с работодателями, отношения с клиентами, клиенты — они какие? Родители — они какие? Дети — они какие?
267000	277000	Первый вопрос — это что вы знаете конкретно об отношениях с группой людей, с мужчинами, с подругами, с другими женщинами? Неважно.
277000	284000	В общем, что вы знаете об отношениях с мужчинами или с другой группой людей? Поставьте на паузу и выложите это куда-то.
285000	292000	Второй вопрос — это что вы знаете конкретно об этой группе, с которой вы хотите побольше разобрать отношения с этой группой людей?
293000	298000	Например, что вы знаете о мужчинах, если у вас сейчас интересно, вам сейчас интересно разобраться в этой теме.
298000	308000	Что вы знаете о мужчинах? Мужчины — это вообще кто? Мужчины — они какие? Чаще всего. Как они обычно проявляются?
309000	316000	Вообще, вот, просто собирательный образ мужчины. Он у вас какой в вашей голове? Кто такой мужчина? Как он проявляется обычно? Как он не проявляется?
317000	324000	Я попрошу вас описывать честно. Маркером будет знать, что ваша реальность, потому что реальность отражает ваши знания.
324000	334000	Если у вас знание о мужчина — это такой невероятный человек, он готов сделать все для женщины, а в реальности у вас какие-то идиоты, значит, где-то вы себе врете.
335000	343000	То есть пишите честно то, что вы думаете. Вот искренне представьте, что вы с подругой сейчас сидите на кофе и обсуждаете.
344000	349000	Вот тоже как еще можно из себя вытащить знания и по-честному, чтобы это было искренне.
349000	357000	Это вспомнить свои, возможно, предыдущие недавние разговоры с людьми на эту тему.
358000	364000	Что вы в последний раз обсуждали со своей подругой, со своими подругами, допустим, насчет мужчин? Какие они эти мужчины?
365000	369000	Что они делали, как они проявлялись и так далее? Вот это вот чистая правда будет.
370000	375000	Или что вы в последний раз говорили кому-то про эту группу людей, про подруг, про мужчин, про работодателей.
375000	380000	То есть ваши вот эти вот все разговоры, диалоги, это уже следствие вашей внутренних знаний.
381000	385000	Сейчас я попрошу вас сделать то же самое, но опять же, с ремарочкой, с пометочкой, чтобы это было честно.
386000	391000	Пишите прямо, реально, что вы думаете про подруг, про женскую дружбу, про мужчин, что вы думаете, кто это вообще за персонажа.
392000	399000	Честно пишем. Как понять, что вы честно пишете особого разделения и несоответствия между вашими знаниями и реальностью? Нет.
399000	406000	Потому что ваша дитя куча реальность, просто проекция, такая тень, которая вот отражается об эти знания.
407000	416000	Вот, дальше вопрос номер три. Это кто вы внутри этих отношений с этими людьми?
417000	424000	Кто вы в контакте с этими людьми? Допустим, какая вы подруга? Какой вы друг, если у вас группа людей это подруги, отношения с женщинами?
424000	437000	Либо какая вы в глазах мужчин? Какая вы внутри отношений в этой сфере? Как вас воспринимают мужчины, как вы думаете, ваши знания выкладываете?
438000	446000	Как вас воспринимают женщины, девушки, другие подруги? Как вас воспринимают коллеги на работе, если вы хотите в эту тему углубиться?
446000	455000	Как вас воспринимают работодатели, клиенты, родители, дети? В смысле, сколько группы вы опять же сейчас взаимодействуете?
456000	457000	Выписывайте вот этот объект.
457000	466000	По поводу серьезных отношений, если вам это актуально и вам интересен этот опыт, выписывайте, что вы знаете, что вы думаете насчет серьезных отношений.
467000	474000	Могут ли отношения существовать долго? Могут ли они существовать долго без серьезных проблем в отношениях?
474000	479000	Или отношения — это какой-то труд, где нужно постоянно преодолевать препятствия.
480000	489000	И вообще, если пару, 10 лет в браке, то обязательно измены. Или у вас вообще другие знания, либо у вас хорошие знания, именно в контексте создания долгосрочных отношений.
490000	494000	Опять же, хорошая отоценка ума, да, но с точки зрения создания того, чего вы хотите, я имею в виду.
495000	498000	В общем, выписывайте все, что вы знаете насчет серьезных отношений.
498000	504000	Все вот эти вот знания и представления зафиксируйте где-нибудь, пусть они у вас будут.
505000	510000	И последнее — это ваше искреннее отношение к себе.
511000	517000	Вот здесь, конечно, такой вопросик немножко со звездочкой, потому что очень часто мы не отслеживаем эти процессы отношения к себе,
518000	522000	потому что это неосознанное чаще всего, автоматические действия, которые мы к себе направляем.
522000	528000	Поэтому здесь я даю вам задание такое, на перспективу, отслеживать ваше искреннее отношение с собой.
529000	537000	Туда входит, как вы с собой общаетесь, дура ты, что опять проспала, жирная свинья опять и пожиралась, или ничего страшного, мы с тобой справимся.
538000	540000	У тебя все получится, я тебя люблю и в тебе верю.
541000	543000	Разные диалоги, вот вы как с собой общаетесь?
544000	549000	Опять же, здесь вы можете, конечно, в моменте ответить, но если вы до этого не отслеживали и таким вопросом не задавались,
549000	557000	то даю вам задание на перспективу, возьмите один день, либо два дня, неделю, проследите, можете себе таймеры поставить, напоминания,
558000	564000	можете просто сами как-то вот отслеживать, как вы с собой общаетесь внутри себя.
565000	567000	Второе, это, естественно, как вы к себе относитесь.
568000	572000	Думаете ли вы о себе в первую очередь, или сначала другие, потом себе?
573000	576000	Сначала я дам все детям, потом себе, я потерплю, я подожду.
576000	578000	Сначала я дам все мужу, потом себе.
579000	583000	Сначала сделаю для родителей, потом себе, то есть себе как будто крохи отдаёте.
584000	592000	Да, здесь честно, отслеживайте, опять же, вход в трансформацию происходит через честность, потому что пока мы запихиваем говно под ковёр,
593000	595000	говно воняет, но мы его не видим, нам непонятно, что здесь менять,
596000	600000	а когда мы говно реально видим в глаза, мы можем его убрать, ну, условно, да?
601000	610000	Вот, поэтому выписываем, либо фиксируем в перспективе, смотрим хотя бы неделю, день-два, как вам комфортно.
611000	616000	Либо сейчас вы можете уже, может быть, какие-то выводы сделаетесь в последних событиях и последние ваши отношения к себе и так далее,
617000	621000	как вы проявлялись к себе, может быть, вы уже отслеживали, в общем, то, как вы к себе относитесь.
623000	628000	Вот это все зафиксируйте где-нибудь на бумаге, либо на диктофоне.
628000	632000	И еще, кстати, по поводу отношения к себе, как еще разosoold 갈еть отношение к себе?
634000	638000	Посмотреть на отношения вас к другим и других к вам.
639000	642000	Еще раз, отношения вас к другим, отношения других к вам.
643000	647000	Потому что отношение вас к другим, это идеальное отражение отношения вас к себе.
648000	653000	Если вы действуете даже не действия сами, да, а состояние, из которого вы действуете.
653000	658240	действуйте и аналогично отношения других к вам это уже зеркало отношения вас к себе
659240	666640	вот поэтому вы можете по этому очень тоже точно отследить вот эти паттерны которые у вас реально есть это будет как раз такие
667520	672800	безобманно потому что если можно обмануть себя что я себе люблю то реальность
673480	679960	уже невозможно обмануть да если вы частно посмотрите на реальность например что люди вас поставят на последнее место
679960	686880	мужчины например они про вас забывают они там как такого относится определенным образом но вы такие выписывайте я себя обожаю
687520	695520	я себя очень люблю если я вставлю на первое место но в реальность у вас другой вообще фидбэк это говорит о том что вы все тут немножко вретим либо
695520	703320	либо не немножко в общем смотрите на три стези в контексте отношения к себе отношения к себе дали отношения вас к другим то есть
703320	710040	если у вас агрессия к другим например если у вас зависть такая вы знаете черная плохая что лишь бы у тебя этого не было
710040	718400	ах блин у тебя получилось лучше бы тебе не получилось если у вас наоборот может быть любовь к другим искренне щедрость вот вы хотите отдавать
718400	724480	делиться изнутри себя то есть что у вас к другим вообще направлено и далее что от других направлено к вам
725480	730320	смотрим ваши близкие круг людей подруги партнеры ухажеры и так далее
730320	740160	теперь вот все что вы выписали в качестве того что вы знаете об отношениях о себе в контексте отношений и далее
740160	748360	по списочку которую я вам продиктовала вот это все является техническим заданием сырьем из которого ткется ваша
748360	755440	реальность в контексте отношений то есть это точно такие же знания и представления с которыми вы как энергия
755440	761920	бесконечно феечная абсолютно отождествили себя и реальность начала это зеркалить здесь то же самое
761920	766840	нужно разочувствовать с этими формочками осознав что это не ваш что это не вы в это не выбирали осознанно
766840	774600	почему вообще у вас это должно быть не осознанно перевыбрать другие формочки как бы себя вела и ощущала
774600	783000	та версия вас которая желанна для других людей во всех контекстах и для подруг и для мужчин и
783600	788240	так далее и как бы она себя чувствовала как бы она себя вела как бы она себя ощущала сама
788240	796200	ощущала вот с этим вы теперь отожставляетесь то есть с теми формой мирад caught а же снимайте это не
796200	803060	вы точно так же как формочки на счет вашей идентичности здесь аналогично и отождеств propriet с тем что
803060	807280	вам интересно что вы мне интересно прыгать чтоб интересно теперь познать потому что вы являетесь
807280	813080	просто абсолютной вечностью и отожитая себя с чем-то реально начинает это отражать.
813080	818320	Меняете то, с чем вы себя отожистили, меняется в ответ реальность.
